UNIT,YEAR,SEX,RACE,AGE,ESTIMATE
"Deaths per 100,000 resident population, crude",2008,Male,White,65 years and over,31.6
"Deaths per 100,000 resident population, crude",2009,Male,White,65 years and over,31.5
"Deaths per 100,000 resident population, crude",2010,Male,White,65 years and over,31.7
"Deaths per 100,000 resident population, crude",2011,Male,White,65 years and over,32.1
"Deaths per 100,000 resident population, crude",2012,Male,White,65 years and over,32.2
"Deaths per 100,000 resident population, crude",2013,Male,White,65 years and over,34.1
"Deaths per 100,000 resident population, crude",2014,Male,White,65 years and over,34.7
"Deaths per 100,000 resident population, crude",2015,Male,White,65 years and over,34.3
"Deaths per 100,000 resident population, crude",2016,Male,White,65 years and over,34.4
"Deaths per 100,000 resident population, crude",2017,Male,White,65 years and over,34.9
"Deaths per 100,000 resident population, crude",2018,Male,White,65 years and over,36.2
"Deaths per 100,000 resident population, crude",1950,Male,White,75-84 years,61.9
"Deaths per 100,000 resident population, crude",1960,Male,White,75-84 years,55.7
"Deaths per 100,000 resident population, crude",1970,Male,White,75-84 years,45.5
"Deaths per 100,000 resident population, crude",1980,Male,White,75-84 years,45.5
"Deaths per 100,000 resident population, crude",1981,Male,White,75-84 years,43.9
"Deaths per 100,000 resident population, crude",1982,Male,White,75-84 years,48.5
"Deaths per 100,000 resident population, crude",1983,Male,White,75-84 years,52.5
"Deaths per 100,000 resident population, crude",1984,Male,White,75-84 years,51.9
"Deaths per 100,000 resident population, crude",1985,Male,White,75-84 years,57
"Deaths per 100,000 resident population, crude",1986,Male,White,75-84 years,58.8
"Deaths per 100,000 resident population, crude",1987,Male,White,75-84 years,60.9
"Deaths per 100,000 resident population, crude",1988,Male,White,75-84 years,61.4
"Deaths per 100,000 resident population, crude",1989,Male,White,75-84 years,55.3
"Deaths per 100,000 resident population, crude",1990,Male,White,75-84 years,60.2
"Deaths per 100,000 resident population, crude",1991,Male,White,75-84 years,56.1
"Deaths per 100,000 resident population, crude",1992,Male,White,75-84 years,53.1
"Deaths per 100,000 resident population, crude",1993,Male,White,75-84 years,52.1
"Deaths per 100,000 resident population, crude",1994,Male,White,75-84 years,50.1
"Deaths per 100,000 resident population, crude",1995,Male,White,75-84 years,47.7
"Deaths per 100,000 resident population, crude",1996,Male,White,75-84 years,46.3
"Deaths per 100,000 resident population, crude",1997,Male,White,75-84 years,43.6
"Deaths per 100,000 resident population, crude",1998,Male,White,75-84 years,45.1
"Deaths per 100,000 resident population, crude",1999,Male,White,75-84 years,41.2
"Deaths per 100,000 resident population, crude",2000,Male,White,75-84 years,41.1
"Deaths per 100,000 resident population, crude",2001,Male,White,75-84 years,40
"Deaths per 100,000 resident population, crude",2002,Male,White,75-84 years,40.4
"Deaths per 100,000 resident population, crude",2003,Male,White,75-84 years,37.3
"Deaths per 100,000 resident population, crude",2004,Male,White,75-84 years,36.8
"Deaths per 100,000 resident population, crude",2005,Male,White,75-84 years,38
"Deaths per 100,000 resident population, crude",2006,Male,White,75-84 years,35.4
"Deaths per 100,000 resident population, crude",2007,Male,White,75-84 years,36.2
"Deaths per 100,000 resident population, crude",2008,Male,White,75-84 years,36.1
"Deaths per 100,000 resident population, crude",2009,Male,White,75-84 years,35.3
"Deaths per 100,000 resident population, crude",2010,Male,White,75-84 years,34.9
"Deaths per 100,000 resident population, crude",2011,Male,White,75-84 years,36.8
"Deaths per 100,000 resident population, crude",2012,Male,White,75-84 years,37
"Deaths per 100,000 resident population, crude",2013,Male,White,75-84 years,38.1
"Deaths per 100,000 resident population, crude",2014,Male,White,75-84 years,38.3
"Deaths per 100,000 resident population, crude",2015,Male,White,75-84 years,38.6
"Deaths per 100,000 resident population, crude",2016,Male,White,75-84 years,39.7
"Deaths per 100,000 resident population, crude",2017,Male,White,75-84 years,39.8
"Deaths per 100,000 resident population, crude",2018,Male,White,75-84 years,41.1
"Deaths per 100,000 resident population, crude",1950,Male,White,85 years and over,61.9
"Deaths per 100,000 resident population, crude",1960,Male,White,85 years and over,61.3
"Deaths per 100,000 resident population, crude",1970,Male,White,85 years and over,45.8
"Deaths per 100,000 resident population, crude",1980,Male,White,85 years and over,52.8
"Deaths per 100,000 resident population, crude",1981,Male,White,85 years and over,54
"Deaths per 100,000 resident population, crude",1982,Male,White,85 years and over,54.5
"Deaths per 100,000 resident population, crude",1983,Male,White,85 years and over,57.9
"Deaths per 100,000 resident population, crude",1984,Male,White,85 years and over,56.3
"Deaths per 100,000 resident population, crude",1985,Male,White,85 years and over,60.9
"Deaths per 100,000 resident population, crude",1986,Male,White,85 years and over,66.5
"Deaths per 100,000 resident population, crude",1987,Male,White,85 years and over,72.1
"Deaths per 100,000 resident population, crude",1988,Male,White,85 years and over,66.5
"Deaths per 100,000 resident population, crude",1989,Male,White,85 years and over,72.9
"Deaths per 100,000 resident population, crude",1990,Male,White,85 years and over,70.3
"Deaths per 100,000 resident population, crude",1991,Male,White,85 years and over,74.8
"Deaths per 100,000 resident population, crude",1992,Male,White,85 years and over,67.1
"Deaths per 100,000 resident population, crude",1993,Male,White,85 years and over,73.2
"Deaths per 100,000 resident population, crude",1994,Male,White,85 years and over,71
"Deaths per 100,000 resident population, crude",1995,Male,White,85 years and over,67.9
"Deaths per 100,000 resident population, crude",1996,Male,White,85 years and over,65.5
"Deaths per 100,000 resident population, crude",1997,Male,White,85 years and over,65.2
"Deaths per 100,000 resident population, crude",1998,Male,White,85 years and over,64.5
"Deaths per 100,000 resident population, crude",1999,Male,White,85 years and over,61.5
"Deaths per 100,000 resident population, crude",2000,Male,White,85 years and over,61.6
"Deaths per 100,000 resident population, crude",2001,Male,White,85 years and over,56.6
"Deaths per 100,000 resident population, crude",2002,Male,White,85 years and over,57.8
"Deaths per 100,000 resident population, crude",2003,Male,White,85 years and over,55.2
"Deaths per 100,000 resident population, crude",2004,Male,White,85 years and over,52.5
"Deaths per 100,000 resident population, crude",2005,Male,White,85 years and over,53.1
"Deaths per 100,000 resident population, crude",2006,Male,White,85 years and over,50.8
"Deaths per 100,000 resident population, crude",2007,Male,White,85 years and over,50.1
"Deaths per 100,000 resident population, crude",2008,Male,White,85 years and over,45.8
"Deaths per 100,000 resident population, crude",2009,Male,White,85 years and over,46.9
"Deaths per 100,000 resident population, crude",2010,Male,White,85 years and over,50.8
"Deaths per 100,000 resident population, crude",2011,Male,White,85 years and over,47
"Deaths per 100,000 resident population, crude",2012,Male,White,85 years and over,50.7
"Deaths per 100,000 resident population, crude",2013,Male,White,85 years and over,52.6
"Deaths per 100,000 resident population, crude",2014,Male,White,85 years and over,54.4
"Deaths per 100,000 resident population, crude",2015,Male,White,85 years and over,52.5
"Deaths per 100,000 resident population, crude",2016,Male,White,85 years and over,52.5
"Deaths per 100,000 resident population, crude",2017,Male,White,85 years and over,55.3
"Deaths per 100,000 resident population, crude",2018,Male,White,85 years and over,51.8
"Deaths per 100,000 resident population, crude",1950,Male,Black or African American,15-24 years,4.9
"Deaths per 100,000 resident population, crude",1960,Male,Black or African American,15-24 years,4.1
"Deaths per 100,000 resident population, crude",1970,Male,Black or African American,15-24 years,10.5
"Deaths per 100,000 resident population, crude",1980,Male,Black or African American,15-24 years,12.3
"Deaths per 100,000 resident population, crude",1981,Male,Black or African American,15-24 years,11.2
"Deaths per 100,000 resident population, crude",1982,Male,Black or African American,15-24 years,11.3
"Deaths per 100,000 resident population, crude",1983,Male,Black or African American,15-24 years,11.5
"Deaths per 100,000 resident population, crude",1984,Male,Black or African American,15-24 years,11.2
"Deaths per 100,000 resident population, crude",1985,Male,Black or African American,15-24 years,13.3
"Deaths per 100,000 resident population, crude",1986,Male,Black or African American,15-24 years,11.4
"Deaths per 100,000 resident population, crude",1987,Male,Black or African American,15-24 years,12.9
"Deaths per 100,000 resident population, crude",1988,Male,Black or African American,15-24 years,14.5
"Deaths per 100,000 resident population, crude",1989,Male,Black or African American,15-24 years,16.6
"Deaths per 100,000 resident population, crude",1990,Male,Black or African American,15-24 years,15.1
"Deaths per 100,000 resident population, crude",1991,Male,Black or African American,15-24 years,16.4
"Deaths per 100,000 resident population, crude",1992,Male,Black or African American,15-24 years,17.9
"Deaths per 100,000 resident population, crude",1993,Male,Black or African American,15-24 years,19.9
"Deaths per 100,000 resident population, crude",1994,Male,Black or African American,15-24 years,20.4
"Deaths per 100,000 resident population, crude",1995,Male,Black or African American,15-24 years,17.8
"Deaths per 100,000 resident population, crude",1996,Male,Black or African American,15-24 years,16.6
"Deaths per 100,000 resident population, crude",1997,Male,Black or African American,15-24 years,15.9
"Deaths per 100,000 resident population, crude",1998,Male,Black or African American,15-24 years,14.9
"Deaths per 100,000 resident population, crude",1999,Male,Black or African American,15-24 years,14.3
"Deaths per 100,000 resident population, crude",2000,Male,Black or African American,15-24 years,14.2
"Deaths per 100,000 resident population, crude",2001,Male,Black or African American,15-24 years,13
"Deaths per 100,000 resident population, crude",2002,Male,Black or African American,15-24 years,11.3
"Deaths per 100,000 resident population, crude",2003,Male,Black or African American,15-24 years,12.1
"Deaths per 100,000 resident population, crude",2004,Male,Black or African American,15-24 years,12.1
"Deaths per 100,000 resident population, crude",2005,Male,Black or African American,15-24 years,11.4
"Deaths per 100,000 resident population, crude",2006,Male,Black or African American,15-24 years,10.5
"Deaths per 100,000 resident population, crude",2007,Male,Black or African American,15-24 years,10.1
"Deaths per 100,000 resident population, crude",2008,Male,Black or African American,15-24 years,12
"Deaths per 100,000 resident population, crude",2009,Male,Black or African American,15-24 years,10.4
"Deaths per 100,000 resident population, crude",2010,Male,Black or African American,15-24 years,11.1
"Deaths per 100,000 resident population, crude",2011,Male,Black or African American,15-24 years,11.5
"Deaths per 100,000 resident population, crude",2012,Male,Black or African American,15-24 years,11.4
"Deaths per 100,000 resident population, crude",2013,Male,Black or African American,15-24 years,11.5
"Deaths per 100,000 resident population, crude",2014,Male,Black or African American,15-24 years,12
"Deaths per 100,000 resident population, crude",2015,Male,Black or African American,15-24 years,12.9
"Deaths per 100,000 resident population, crude",2016,Male,Black or African American,15-24 years,14.7
"Deaths per 100,000 resident population, crude",2017,Male,Black or African American,15-24 years,16.2
"Deaths per 100,000 resident population, crude",2018,Male,Black or African American,15-24 years,16.4
"Deaths per 100,000 resident population, crude",1950,Male,Black or African American,25-44 years,9.8
"Deaths per 100,000 resident population, crude",1960,Male,Black or African American,25-44 years,12.6
"Deaths per 100,000 resident population, crude",1970,Male,Black or African American,25-44 years,16.1
"Deaths per 100,000 resident population, crude",1980,Male,Black or African American,25-44 years,19.2
"Deaths per 100,000 resident population, crude",1981,Male,Black or African American,25-44 years,19.4
"Deaths per 100,000 resident population, crude",1982,Male,Black or African American,25-44 years,18.6
"Deaths per 100,000 resident population, crude",1983,Male,Black or African American,25-44 years,17.1
"Deaths per 100,000 resident population, crude",1984,Male,Black or African American,25-44 years,19.1
"Deaths per 100,000 resident population, crude",1985,Male,Black or African American,25-44 years,17.8
"Deaths per 100,000 resident population, crude",1986,Male,Black or African American,25-44 years,19.8
"Deaths per 100,000 resident population, crude",1987,Male,Black or African American,25-44 years,19.8
"Deaths per 100,000 resident population, crude",1988,Male,Black or African American,25-44 years,19.8
"Deaths per 100,000 resident population, crude",1989,Male,Black or African American,25-44 years,20.3
"Deaths per 100,000 resident population, crude",1990,Male,Black or African American,25-44 years,19.6
"Deaths per 100,000 resident population, crude",1991,Male,Black or African American,25-44 years,18.4
"Deaths per 100,000 resident population, crude",1992,Male,Black or African American,25-44 years,18.8
"Deaths per 100,000 resident population, crude",1993,Male,Black or African American,25-44 years,18.9
"Deaths per 100,000 resident population, crude",1994,Male,Black or African American,25-44 years,18.7
"Deaths per 100,000 resident population, crude",1995,Male,Black or African American,25-44 years,18.3
"Deaths per 100,000 resident population, crude",1996,Male,Black or African American,25-44 years,17.5
"Deaths per 100,000 resident population, crude",1997,Male,Black or African American,25-44 years,16.6
"Deaths per 100,000 resident population, crude",1998,Male,Black or African American,25-44 years,14.9
"Deaths per 100,000 resident population, crude",1999,Male,Black or African American,25-44 years,15
"Deaths per 100,000 resident population, crude",2000,Male,Black or African American,25-44 years,14.3
"Deaths per 100,000 resident population, crude",2001,Male,Black or African American,25-44 years,14.4
"Deaths per 100,000 resident population, crude",2002,Male,Black or African American,25-44 years,15.2
"Deaths per 100,000 resident population, crude",2003,Male,Black or African American,25-44 years,14.5
"Deaths per 100,000 resident population, crude",2004,Male,Black or African American,25-44 years,13.9
"Deaths per 100,000 resident population, crude",2005,Male,Black or African American,25-44 years,14
"Deaths per 100,000 resident population, crude",2006,Male,Black or African American,25-44 years,14.5
"Deaths per 100,000 resident population, crude",2007,Male,Black or African American,25-44 years,13.9
"Deaths per 100,000 resident population, crude",2008,Male,Black or African American,25-44 years,13.9
"Deaths per 100,000 resident population, crude",2009,Male,Black or African American,25-44 years,13.2
"Deaths per 100,000 resident population, crude",2010,Male,Black or African American,25-44 years,14.5
"Deaths per 100,000 resident population, crude",2011,Male,Black or African American,25-44 years,14.4
"Deaths per 100,000 resident population, crude",2012,Male,Black or African American,25-44 years,15.3
"Deaths per 100,000 resident population, crude",2013,Male,Black or African American,25-44 years,14.4
"Deaths per 100,000 resident population, crude",2014,Male,Black or African American,25-44 years,14.4
"Deaths per 100,000 resident population, crude",2015,Male,Black or African American,25-44 years,14.8
"Deaths per 100,000 resident population, crude",2016,Male,Black or African American,25-44 years,16.4
"Deaths per 100,000 resident population, crude",2017,Male,Black or African American,25-44 years,17.6
"Deaths per 100,000 resident population, crude",2018,Male,Black or African American,25-44 years,18.6
"Deaths per 100,000 resident population, crude",1950,Male,Black or African American,45-64 years,12.7
"Deaths per 100,000 resident population, crude",1960,Male,Black or African American,45-64 years,13
"Deaths per 100,000 resident population, crude",1970,Male,Black or African American,45-64 years,12.4
"Deaths per 100,000 resident population, crude",1980,Male,Black or African American,45-64 years,11.8
"Deaths per 100,000 resident population, crude",1981,Male,Black or African American,45-64 years,12.3
"Deaths per 100,000 resident population, crude",1982,Male,Black or African American,45-64 years,11.7
"Deaths per 100,000 resident population, crude",1983,Male,Black or African American,45-64 years,12.1
"Deaths per 100,000 resident population, crude",1984,Male,Black or African American,45-64 years,12.7
"Deaths per 100,000 resident population, crude",1985,Male,Black or African American,45-64 years,12.9
"Deaths per 100,000 resident population, crude",1986,Male,Black or African American,45-64 years,11.9
"Deaths per 100,000 resident population, crude",1987,Male,Black or African American,45-64 years,12.2
"Deaths per 100,000 resident population, crude",1988,Male,Black or African American,45-64 years,11.8
"Deaths per 100,000 resident population, crude",1989,Male,Black or African American,45-64 years,11.2
"Deaths per 100,000 resident population, crude",1990,Male,Black or African American,45-64 years,13.1
"Deaths per 100,000 resident population, crude",1991,Male,Black or African American,45-64 years,13.6
"Deaths per 100,000 resident population, crude",1992,Male,Black or African American,45-64 years,11.3
"Deaths per 100,000 resident population, crude",1993,Male,Black or African American,45-64 years,12.1
"Deaths per 100,000 resident population, crude",1994,Male,Black or African American,45-64 years,10.1
"Deaths per 100,000 resident population, crude",1995,Male,Black or African American,45-64 years,11.5
"Deaths per 100,000 resident population, crude",1996,Male,Black or African American,45-64 years,11.4
"Deaths per 100,000 resident population, crude",1997,Male,Black or African American,45-64 years,10.1
"Deaths per 100,000 resident population, crude",1998,Male,Black or African American,45-64 years,10.7
"Deaths per 100,000 resident population, crude",1999,Male,Black or African American,45-64 years,9.7
"Deaths per 100,000 resident population, crude",2000,Male,Black or African American,45-64 years,9.9
"Deaths per 100,000 resident population, crude",2001,Male,Black or African American,45-64 years,9.6
"Deaths per 100,000 resident population, crude",2002,Male,Black or African American,45-64 years,9.4
"Deaths per 100,000 resident population, crude",2003,Male,Black or African American,45-64 years,8.8
"Deaths per 100,000 resident population, crude",2004,Male,Black or African American,45-64 years,9.8
"Deaths per 100,000 resident population, crude",2005,Male,Black or African American,45-64 years,9.1
"Deaths per 100,000 resident population, crude",2006,Male,Black or African American,45-64 years,9.5
"Deaths per 100,000 resident population, crude",2007,Male,Black or African American,45-64 years,9
"Deaths per 100,000 resident population, crude",2008,Male,Black or African American,45-64 years,9.8
"Deaths per 100,000 resident population, crude",2009,Male,Black or African American,45-64 years,9.6
"Deaths per 100,000 resident population, crude",2010,Male,Black or African American,45-64 years,9.5
"Deaths per 100,000 resident population, crude",2011,Male,Black or African American,45-64 years,9.5
"Deaths per 100,000 resident population, crude",2012,Male,Black or African American,45-64 years,9.6
"Deaths per 100,000 resident population, crude",2013,Male,Black or African American,45-64 years,10
"Deaths per 100,000 resident population, crude",2014,Male,Black or African American,45-64 years,9.9
"Deaths per 100,000 resident population, crude",2015,Male,Black or African American,45-64 years,9.7
